	year_week	rideable_type	rides	year	week	season	rides_2weeks_ago	rides_lastweek
0	2020-31	2	9392	2020	31	2	35.0	3714.0
1	2020-32	2	14927	2020	32	2	3714.0	9392.0
2	2020-33	2	16616	2020	33	2	9392.0	14927.0
3	2020-34	2	20354	2020	34	2	14927.0	16616.0
4	2020-35	2	24277	2020	35	2	16616.0	20354.0
5	2020-36	2	22149	2020	36	2	20354.0	24277.0
6	2020-37	2	32139	2020	37	2	24277.0	22149.0
7	2020-38	2	39889	2020	38	2	22149.0	32139.0
8	2020-39	2	32736	2020	39	3	32139.0	39889.0
9	2020-40	2	45078	2020	40	3	39889.0	32736.0
10	2020-41	2	34266	2020	41	3	32736.0	45078.0
11	2020-42	2	29604	2020	42	3	45078.0	34266.0
12	2020-43	2	26290	2020	43	3	34266.0	29604.0
13	2020-44	2	41799	2020	44	3	29604.0	26290.0
14	2020-45	2	26103	2020	45	3	26290.0	41799.0
15	2020-46	2	22385	2020	46	3	41799.0	26103.0
16	2020-47	2	13403	2020	47	3	26103.0	22385.0
17	2020-48	2	13285	2020	48	3	22385.0	13403.0
18	2020-49	2	12498	2020	49	3	13403.0	13285.0
19	2020-50	2	11430	2020	50	3	13285.0	12498.0
20	2020-50	1	18827	2020	50	3	10231.0	21492.0
21	2020-51	1	13353	2020	51	3	21492.0	18827.0
22	2020-51	2	8255	2020	51	3	12498.0	11430.0
23	2020-52	1	6711	2020	52	3	18827.0	13353.0
24	2020-52	2	3843	2020	52	3	11430.0	8255.0
25	2021-00	2	1847	2021	0	0	8255.0	3843.0
26	2021-00	1	3646	2021	0	0	13353.0	6711.0
27	2021-01	2	9125	2021	1	0	3843.0	1847.0
28	2021-01	1	17125	2021	1	0	6711.0	3646.0
29	2021-02	1	16419	2021	2	0	3646.0	17125.0
30	2021-02	2	8647	2021	2	0	1847.0	9125.0
31	2021-03	2	8114	2021	3	0	9125.0	8647.0
32	2021-03	1	14854	2021	3	0	17125.0	16419.0
33	2021-04	1	9653	2021	4	0	16419.0	14854.0
34	2021-04	2	5292	2021	4	0	8647.0	8114.0
35	2021-05	1	7700	2021	5	0	14854.0	9653.0
36	2021-05	2	3504	2021	5	0	8114.0	5292.0
37	2021-06	2	1919	2021	6	0	5292.0	3504.0
38	2021-06	1	5919	2021	6	0	9653.0	7700.0
39	2021-07	1	3647	2021	7	0	7700.0	5919.0
40	2021-07	2	1400	2021	7	0	3504.0	1919.0
41	2021-08	2	6515	2021	8	0	1919.0	1400.0
