	year_week	rideable_type	rides	year	month	week	season	rides_2weeks_ago	rides_lastweek
0	2020-04-13	1	18829	2020	4	15	1	13609.0	22798.0
1	2020-04-20	1	20341	2020	4	16	1	22798.0	18829.0
2	2020-04-27	1	35175	2020	5	17	1	18829.0	20341.0
3	2020-05-04	1	26491	2020	5	18	1	20341.0	35175.0
4	2020-05-11	1	33111	2020	5	19	1	35175.0	26491.0
5	2020-05-18	1	49876	2020	5	20	1	26491.0	33111.0
6	2020-05-25	1	64820	2020	5	21	1	33111.0	49876.0
7	2020-06-01	1	51309	2020	6	22	1	49876.0	64820.0
8	2020-06-08	1	76796	2020	6	23	1	64820.0	51309.0
9	2020-06-15	1	94187	2020	6	24	1	51309.0	76796.0
10	2020-06-22	1	96729	2020	6	25	1	76796.0	94187.0
11	2020-06-29	1	115136	2020	7	26	2	94187.0	96729.0
12	2020-07-06	1	122626	2020	7	27	2	96729.0	115136.0
13	2020-07-13	1	118025	2020	7	28	2	115136.0	122626.0
14	2020-07-20	1	131381	2020	7	29	2	122626.0	118025.0
15	2020-07-27	1	123167	2020	8	30	2	118025.0	131381.0
16	2020-08-03	2	9405	2020	8	31	2	35.0	3717.0
17	2020-08-03	1	133566	2020	8	31	2	131381.0	123167.0
18	2020-08-10	1	118099	2020	8	32	2	123167.0	133566.0
19	2020-08-10	2	14934	2020	8	32	2	3717.0	9405.0
20	2020-08-17	2	16619	2020	8	33	2	9405.0	14934.0
21	2020-08-17	1	131409	2020	8	33	2	133566.0	118099.0
22	2020-08-24	2	20355	2020	8	34	2	14934.0	16619.0
23	2020-08-24	1	121969	2020	8	34	2	118099.0	131409.0
24	2020-08-31	2	24287	2020	9	35	2	16619.0	20355.0
25	2020-08-31	1	110606	2020	9	35	2	131409.0	121969.0
26	2020-09-07	2	22156	2020	9	36	2	20355.0	24287.0
27	2020-09-07	1	81450	2020	9	36	2	121969.0	110606.0
28	2020-09-14	2	32144	2020	9	37	2	24287.0	22156.0
29	2020-09-14	1	99083	2020	9	37	2	110606.0	81450.0
30	2020-09-21	2	39891	2020	9	38	2	22156.0	32144.0
31	2020-09-21	1	101201	2020	9	38	2	81450.0	99083.0
32	2020-09-28	2	32744	2020	10	39	3	32144.0	39891.0
33	2020-09-28	1	60362	2020	10	39	3	99083.0	101201.0
34	2020-10-05	2	45085	2020	10	40	3	39891.0	32744.0
35	2020-10-05	1	83534	2020	10	40	3	101201.0	60362.0
36	2020-10-12	2	34277	2020	10	41	3	32744.0	45085.0
37	2020-10-12	1	50635	2020	10	41	3	60362.0	83534.0
38	2020-10-19	1	38786	2020	10	42	3	83534.0	50635.0
39	2020-10-19	2	29606	2020	10	42	3	45085.0	34277.0
40	2020-10-26	2	26309	2020	11	43	3	34277.0	29606.0
41	2020-10-26	1	32810	2020	11	43	3	50635.0	38786.0
42	2020-11-02	2	41802	2020	11	44	3	29606.0	26309.0
43	2020-11-02	1	61119	2020	11	44	3	38786.0	32810.0
44	2020-11-09	2	26103	2020	11	45	3	26309.0	41802.0
45	2020-11-09	1	33596	2020	11	45	3	32810.0	61119.0
46	2020-11-16	2	22387	2020	11	46	3	41802.0	26103.0
47	2020-11-16	1	30724	2020	11	46	3	61119.0	33596.0
48	2020-11-23	2	13404	2020	11	47	3	26103.0	22387.0
49	2020-11-23	1	20668	2020	11	47	3	33596.0	30724.0
50	2020-11-30	1	22502	2020	12	48	3	30724.0	20668.0
51	2020-11-30	2	13286	2020	12	48	3	22387.0	13404.0
52	2020-12-07	2	12502	2020	12	49	3	13404.0	13286.0
53	2020-12-07	1	22327	2020	12	49	3	20668.0	22502.0
54	2020-12-14	2	11599	2020	12	50	3	13286.0	12502.0
55	2020-12-14	1	19895	2020	12	50	3	22502.0	22327.0
56	2020-12-21	2	8255	2020	12	51	3	12502.0	11599.0
57	2020-12-21	1	14255	2020	12	51	3	22327.0	19895.0
58	2020-12-28	2	5690	2021	12	52	3	11599.0	8255.0
59	2020-12-28	1	10928	2021	12	52	3	19895.0	14255.0
60	2021-01-04	1	17823	2021	1	01	0	14255.0	10928.0
61	2021-01-04	2	9126	2021	1	01	0	8255.0	5690.0
62	2021-01-11	2	8649	2021	1	02	0	5690.0	9126.0
63	2021-01-11	1	16982	2021	1	02	0	10928.0	17823.0
64	2021-01-18	1	15270	2021	1	03	0	17823.0	16982.0
65	2021-01-18	2	8114	2021	1	03	0	9126.0	8649.0
66	2021-01-25	2	5292	2021	1	04	0	8649.0	8114.0
67	2021-01-25	1	9852	2021	1	04	0	16982.0	15270.0
68	2021-02-01	2	3504	2021	2	05	0	8114.0	5292.0
69	2021-02-01	1	7795	2021	2	05	0	15270.0	9852.0
70	2021-02-08	2	1919	2021	2	06	0	5292.0	3504.0
71	2021-02-08	1	5978	2021	2	06	0	9852.0	7795.0
72	2021-02-15	1	3702	2021	2	07	0	7795.0	5978.0
73	2021-02-15	2	1400	2021	2	07	0	3504.0	1919.0
74	2021-02-22	1	18808	2021	2	08	0	5978.0	3702.0
75	2021-02-22	2	6516	2021	2	08	0	1919.0	1400.0
76	2021-03-01	2	9302	2021	3	09	0	1400.0	6516.0
77	2021-03-01	1	26789	2021	3	09	0	3702.0	18808.0
78	2021-03-08	1	45939	2021	3	10	0	18808.0	26789.0
79	2021-03-08	2	13679	2021	3	10	0	6516.0	9302.0
80	2021-03-15	1	36752	2021	3	11	0	26789.0	45939.0
81	2021-03-15	2	13057	2021	3	11	0	9302.0	13679.0
82	2021-03-22	1	40996	2021	3	12	0	45939.0	36752.0
83	2021-03-22	2	16512	2021	3	12	0	13679.0	13057.0
84	2021-03-29	2	20752	2021	4	13	1	13057.0	16512.0
85	2021-03-29	1	56492	2021	4	13	1	36752.0	40996.0
86	2021-04-05	2	20826	2021	4	14	1	16512.0	20752.0
87	2021-04-05	1	57891	2021	4	14	1	40996.0	56492.0
88	2021-04-12	2	23480	2021	4	15	1	20752.0	20826.0
89	2021-04-12	1	53467	2021	4	15	1	56492.0	57891.0
90	2021-04-19	1	46269	2021	4	16	1	57891.0	53467.0
91	2021-04-19	2	21833	2021	4	16	1	20826.0	23480.0
92	2021-04-26	1	80671	2021	5	17	1	53467.0	46269.0
93	2021-04-26	2	30219	2021	5	17	1	23480.0	21833.0
94	2021-05-03	1	50484	2021	5	18	1	46269.0	80671.0
95	2021-05-03	2	26895	2021	5	18	1	21833.0	30219.0
96	2021-05-10	2	39778	2021	5	19	1	30219.0	26895.0
97	2021-05-10	1	70271	2021	5	19	1	80671.0	50484.0
98	2021-05-17	1	97137	2021	5	20	1	50484.0	70271.0
99	2021-05-17	2	48904	2021	5	20	1	26895.0	39778.0
100	2021-05-24	1	82173	2021	5	21	1	70271.0	97137.0
101	2021-05-24	2	45128	2021	5	21	1	39778.0	48904.0
102	2021-05-31	1	116082	2021	6	22	1	97137.0	82173.0
103	2021-05-31	2	60585	2021	6	22	1	48904.0	45128.0
104	2021-06-07	1	127511	2021	6	23	1	82173.0	116082.0
105	2021-06-07	2	62678	2021	6	23	1	45128.0	60585.0
106	2021-06-14	2	56171	2021	6	24	1	60585.0	62678.0
107	2021-06-14	1	128944	2021	6	24	1	116082.0	127511.0
108	2021-06-21	1	94431	2021	6	25	1	127511.0	128944.0
109	2021-06-21	2	51925	2021	6	25	1	62678.0	56171.0
110	2021-06-28	1	116351	2021	7	26	2	128944.0	94431.0
111	2021-06-28	2	54396	2021	7	26	2	56171.0	51925.0
112	2021-07-05	2	54720	2021	7	27	2	51925.0	54396.0
113	2021-07-05	1	109999	2021	7	27	2	94431.0	116351.0
114	2021-07-12	2	60551	2021	7	28	2	54396.0	54720.0
115	2021-07-12	1	122054	2021	7	28	2	116351.0	109999.0
116	2021-07-19	2	58641	2021	7	29	2	54720.0	60551.0
117	2021-07-19	1	131832	2021	7	29	2	109999.0	122054.0
118	2021-07-26	2	56813	2021	8	30	2	60551.0	58641.0
119	2021-07-26	1	140042	2021	8	30	2	122054.0	131832.0
120	2021-08-02	2	60758	2021	8	31	2	58641.0	56813.0
121	2021-08-02	1	128652	2021	8	31	2	131832.0	140042.0
122	2021-08-09	2	53870	2021	8	32	2	56813.0	60758.0
123	2021-08-09	1	126472	2021	8	32	2	140042.0	128652.0
124	2021-08-16	1	129980	2021	8	33	2	128652.0	126472.0
125	2021-08-16	2	58762	2021	8	33	2	60758.0	53870.0
126	2021-08-23	2	58101	2021	8	34	2	53870.0	58762.0
127	2021-08-23	1	111866	2021	8	34	2	126472.0	129980.0
128	2021-08-30	2	58781	2021	9	35	2	58762.0	58101.0
129	2021-08-30	1	121783	2021	9	35	2	129980.0	111866.0
130	2021-09-06	1	126234	2021	9	36	2	111866.0	121783.0
131	2021-09-06	2	58580	2021	9	36	2	58101.0	58781.0
132	2021-09-13	2	60726	2021	9	37	2	58781.0	58580.0
133	2021-09-13	1	125317	2021	9	37	2	121783.0	126234.0
134	2021-09-20	2	59693	2021	9	38	2	58580.0	60726.0
135	2021-09-20	1	98699	2021	9	38	2	126234.0	125317.0
136	2021-09-27	2	64230	2021	10	39	3	60726.0	59693.0
137	2021-09-27	1	99447	2021	10	39	3	125317.0	98699.0
138	2021-10-04	2	67738	2021	10	40	3	59693.0	64230.0
139	2021-10-04	1	98713	2021	10	40	3	98699.0	99447.0
140	2021-10-11	1	80278	2021	10	41	3	99447.0	98713.0
141	2021-10-11	2	70729	2021	10	41	3	64230.0	67738.0
142	2021-10-18	2	69005	2021	10	42	3	67738.0	70729.0
143	2021-10-18	1	68174	2021	10	42	3	98713.0	80278.0
144	2021-10-25	1	47874	2021	10	43	3	80278.0	68174.0
145	2021-10-25	2	57205	2021	10	43	3	70729.0	69005.0
146	2021-11-01	1	53466	2021	11	44	3	68174.0	47874.0
147	2021-11-01	2	60422	2021	11	44	3	69005.0	57205.0
148	2021-11-08	1	41433	2021	11	45	3	47874.0	53466.0
149	2021-11-08	2	51449	2021	11	45	3	57205.0	60422.0
150	2021-11-15	2	46249	2021	11	46	3	60422.0	51449.0
151	2021-11-15	1	36514	2021	11	46	3	53466.0	41433.0
152	2021-11-22	2	27724	2021	11	47	3	51449.0	46249.0
153	2021-11-22	1	21114	2021	11	47	3	41433.0	36514.0
154	2021-11-29	2	46946	2021	12	48	3	46249.0	27724.0
155	2021-11-29	1	33359	2021	12	48	3	36514.0	21114.0
156	2021-12-06	2	35800	2021	12	49	3	27724.0	46946.0
157	2021-12-06	1	25465	2021	12	49	3	21114.0	33359.0
158	2021-12-13	2	36683	2021	12	50	3	46946.0	35800.0
159	2021-12-13	1	27542	2021	12	50	3	33359.0	25465.0
160	2021-12-20	1	16529	2021	12	51	3	25465.0	27542.0
161	2021-12-20	2	21062	2021	12	51	3	35800.0	36683.0
162	2021-12-27	1	13901	2022	12	52	3	27542.0	16529.0
