	month	rides
0	2020-04	84776
1	2020-05	200274
2	2020-06	343005
3	2020-07	551480
4	2020-08	622361
5	2020-09	532958
6	2020-10	388653
7	2020-11	259716
8	2020-12	131573
9	2021-01	96834
10	2021-02	49622
11	2021-03	228496
12	2021-04	337230
13	2021-05	531633
14	2021-06	729595
15	2021-07	822410
16	2021-08	804352
17	2021-09	756147
18	2021-10	631226
19	2021-11	359978
20	2021-12	247540
21	2022-01	103770
22	2022-02	115609
23	2022-03	284042
24	2022-04	371249
25	2022-05	634858
26	2022-06	769204
27	2022-07	823488
28	2022-08	785932
29	2022-09	701339
30	2022-10	558685
31	2022-11	337735
32	2022-12	181806
33	2023-01	190301
34	2023-02	190445
35	2023-03	258678
36	2023-04	426590
37	2023-05	604827
38	2023-06	719618
39	2023-07	767650
40	2023-08	771693
41	2023-09	666371
42	2023-10	537113
43	2023-11	362518
44	2023-12	224073
45	2024-01	144873
46	2024-02	223164
47	2024-03	301687
48	2024-04	415025
49	2024-05	609704
50	2024-06	710747
51	2024-07	749004
52	2024-08	755804
53	2024-09	820867
54	2024-10	616292
55	2024-11	335029
